Patología,Medicamentos,Observaciones,Acciones
Acne Fulminans - Sepsis,"(*) Cloxacilina 500 mg EV. DI: 500mg - 1gr cada 8 hrs. Cefazolina 1 gr EV  DI: 500 mg- 1gr cada 12 hrs.  DMx: 6 gr día. Vancomicina 500 mg EV. DI: 15-30 mg/k/día cada 12 hrs + Hospitalización UCI - UTI + Régimen cero, reposo absoluto. + SF 0.9% 1000 cc.  DI: 20 cc Bolo EV. + Monitoreo continuo: ECG, PA, Sat. + Oxígeno para SatO2 > 93%. + Evaluar Interconsulta con Cirujano para drenaje en pabellón.",% Sepsis (cubrir contra Estafilococo Aureus) Hospitalizar - Manejo EV.,
Acne leve,"(*) MG: Aseo frecuente con agua. (*) Peróxido de Benzoilo tópico. Uso: cada 12 hrs previo aseo, por 3 semanas. NC: Solugel 4%, Benzac AC 2.5-5-10%. (*) Clindamicina 1% crema. Uso: c 12 hrs previo aseo.  NC: Clidan-B, Indoxyl (Clindamicina +P. de Benzoilo) Bacitracina/Neomicina tópica. Uso: c 12 hrs previo aseo, por tiempo limitado y localizado. Betametasona 0.05% tópica. Uso: c 12 hrs previo aseo, por tiempo limitado y localizado.","% Hormonal, Bacteria, Genético. Tratamiento de Peróxido de Benzoilo por 3 semanas (Queratolítico). (i) En caso de dermatitis suspender Peróxido de Benzoilo. Tratamiento tópico de Antibiótico + Corticoide, por corto tiempo 1-3 días.",
ACV - Accidente cerebro vascular,"TAC de cráneo sin contraste: Confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita: Paralisis facial hemicara inferior + Hemiparesia braquio y/o crural + Afasia. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.","Isquemico: Zona hipodensa o normal en agudo. Hemorragico: Zona Hiperdensa, alteración de linea media.",
ACV Arteria cerebral anterior ACA,"TAC de cráneo sin contraste: confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.","Hemiparesia crural contralateral, Hemihipoestesia. Desorientación, Mutismo Aquinetico (lóbulo frontal).",
ACV Arteria cerebral media ACM,"TAC de cráneo sin contraste: confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.","Mas frecuente. Hemiparesia facio-braquio-crural contralateral, Hemihipoestesia, Afasia. (Lobulo izquierdo).",
ACV Arteria cerebral posterior ACP,"TAC de cráneo sin contraste: confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.","Hemihipoestesia crural contralateral, Hemiparesia, Defectos de campo visual (lóbulo occipital).",
ACV Arteria vertebro basilar AVB,"TAC de cráneo sin contraste: confirma Isquémico vs Hemorrágico. Dg: Clínico: Focalidad súbita. (i) Nunca dar Aspirina, Heparina o Trombólisis: Hasta confirmar con TAC de cráneo.","Compromiso cerebelo, troncoencefalo, Inicio subito o Agudo de Cefalea, Vertigo, Ataxia, Debilidad muscular, estrabismo, Disfagia.",
ACV Hemorragico - Accidente cerebro vascular - HSA,"Reposo absoluto con cabecera en línea media a 30°. Régimen cero. Monitoreo continuo de PA, Sat02, T°, HGT preDAOC. Instalación de SNG hasta evaluación por Fonoaudiología. Oxigenoterapia solo si SatO2 <93%. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. Paracetamol 1gr cada 8 horas por SNG solo si T°>37,8°C. Mantengo Antihipertensivos de base. (Rango: PA<170/110) (*) Labetalol 5mg/ml. DI: 20 mg EV, Solo si PAM >130. Captopril 25 mg SL, Solo si PAM >110 (y si PAS >160 en HSA). (ac) Nimodipino 60 mg cada 4 horas VO o SNG (Solo para HSA). HGT preDAOC + IC según esquema al 50% (objetivo HGT 90 a 160mg/dL). MAE - Medias anti-embolicas. Control de signos vitales cada 6 horas. Medir residuo gástrico cada 6 horas. IC Neurología (cursada al ingreso). IC Rehabilitación Integral(cursada al ingreso). Qx: Solo si hay enclavamiento o sindome de HTEC","(i) Nunca dar Aspirina, Heparina o Trombólisis. Manejo de Neuro protección, Rango de PA menor o igual a 170/110 mmHg. (PAM 130) Solicitar: Pruebas de coagulación, TAC de cerebro sin contraste de control. (i) Osmolyte 30mL/hora por SNG. (Glucerna en diabeticos).",
ACV Isquemico - Accidente cerebro vascular - Trombolisis EV - GES,"Reposo absoluto con cabecera en línea media a 30°. Régimen cero. Monitoreo continuo de PA, T°, Sat02, HGT preDAOC. Instalación de SNG hasta evaluación por Fonoaudiología. Oxigenoterapia solo si SatO2 <93%. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. Paracetamol 1gr cada 8 horas por SNG solo si T°>37,8°C. Captopril 25mg vía SL, solo si PAS >220mmHg y/o PAD >120mmHg y/o PAM >150mmHg. (ac) Labetalol 5mg/ml. DI: 20 mg EV, solo si PAS >220mmHg y/o PAD >120mmHg y/o PAM >150mmHg. (*) Ácido acetilsalicílico 325 mg al día por SNG. NC: Aspirina. (*) Atorvastatina 80 mg al día por SNG. (**) Alteplase rTPA 10 UI en Bolo EV. HGT preDAOC + IC según esquema al 50% (objetivo HGT 90 a 160mg/dL). MAE - Medias anti-embolicas o Enoxaparina o Heparina no fraccionada según PADUA/IMPROVE. Heparina SC post 48 hrs de episodio. Control de signos vitales cada 6 horas Medir residuo gástrico cada 6 horas. Estudio de fuente embolica. IC Neurología (cursada al ingreso). IC Rehabilitación Integral (cursada al ingreso). Realizar GES + IPD por ACV isquémico en >15 años. Qx: Craneotomía, solo si hay enclavamiento o Síndrome de HTEC.","(i) Osmolyte 30mL/hora por SNG. (Glucerna en diabeticos). (i) Oxigenoterapia, Antipirético, Anticonvulsivante, Insulina cristalina, Antihipertensivos SOLO si es necesario. (i) Aspirina, Atorvastatina: SIEMPRE. (*) Trombolisis con Alteplase dar dentro de la ventana menos de 4,5 hrs, lo antes posible. Si se da Intraarterial hasta 6 hrs. Solicitar: Perfil lipídico, Ecocardiograma, Ecodoppler carotideo y vertebral, TAC cerebro sin contraste de control. Holter de ritmo. Antes de alta decidir si queda o no con TACO.",
Adherencias Balanoprepuciales en adultos,Qx Remoción de adherencias Balanoprepuciales.,(i) Normal solo en niños.,
Adherencias Balanoprepuciales en niños,(*) MG: Observar y tranquilizar a madre. (ac) Retracciones suaves y mantener buen aseo. Qx Remoción de Adherencia balanoprepucial en caso de Complicaciones.,"(i) Normal incluso sobre 4 años, explicar que desaparecerán a medida que crece niño. Complicaciones: Balanopostitis - Parafimosis.",
Afasia,"A. de Broca - motora o de expresión; No habla, pero si entiende y lee. (Frontal) A. de Wernicke - sensitiva o de comprensión: Si habla, pero no entiende. (Parietal) A. de Conducción: Puede repetir. A. Mixta: Sensitiva + Motora.","% Compromiso de hemisferio Izquierdo. (Frontal y/o Parietal). Alteración del lenguaje: expresión, comprensión y/o repetición. (i) Disartria: alteración en articulación del lenguaje.",
Alergia o Picadura de Insecto Adultos,"(*) MG: Frio local, delimitar zona con lápiz. (*) Cetirizina 10 mg.    DI: 10 mg al día por 3 días. Loratadina 10 mg.   DI: 10 mg cada 12 hrs. Ibuprofeno 400- 600 mg. DI: 1 cada 8 hrs por 3 días (en caso de dolor) Betametasona 0.05% crema tópica Uso: cada 6-8 hrs. (en caso de inflamación cutánea) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Bacitracina + Neomicina Ungüento. Uso: cada 6-8 hrs (en caso de infección cutánea)","% Alergia, plantas o insectos. Rash local o generalizado, prurito, vesículas, eritema, edema local. Descartar Loxoscelismo (araña de rincón).",
Alergia o Picadura de Insecto Niños,"MG: Frio loca, uñas cortas y limpias, delimitar zona con lápiz. (*) Cetirizina 10 mg/5ml jarabe.      DP: 6m-2a: 2.5mg dia. | 2a-5a: 5mg dia | +5a: 10 mg día. Clorfenamina 2.5mg/5ml jarabe.       DP: 0.1 mg x kg /dosis cada 8 hrs.  (i) evitar en -2a.  NC: Prodel Betametasona 0.05% crema tópica Uso: cada 8 hrs. (en caso de inflamación cutánea) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Bacitracina + Neomicina Ungüento. Uso: cada 6-8 hrs (en caso de infección cutánea)","% Alergia, plantas o insectos. Rash local o generalizado, prurito, vesículas, eritema, edema local. Descartar Loxoscelismo (araña de rincón) y Varicela.",
Alopecia androgenica,"Finasteride 1mg.  DI: 1 comp al día por > 3 meses, solo Hombres. (i) NO dar a mujer. Disminuye libido, disfunción eréctil. NC: Apeplus, Folipil. Dienogest 2 mg (ACO) Progestágeno-Antiandrogénico NC: Tinelle 3, Norah, Disven. Drospirenona 3 mg (ACO) Progestágeno-Antiandrogénico. NC: Vexa CD, Femelle, Yasmin, Miafem. Implante de pelo.","% Genético-Hormonal. En mujeres: SOP sindrome ovario poliquistico /Post Menopausia (dar ACO). (i) Finasteride 1mg NO DAR a mujeres. (i) Finasteride 1 mg Disminuye libido, disfuncion erectil.",
Alopecia Areata,"MG: Observar, manejo de estrés. (*) Betametasona 0,05% crema tópica.   Uso: cada 12 hrs. (ac) Clobetasol 0,05% crema topica. Uso: cada 12 hrs dia. Tacrolimus tópico 0,1%. Uso: c 12 hrs, luego 1/dia 2 por semana. NC: Proalid. PUVA terapia + Derivar a Psicología para apoyo, contención y manejo de estrés.","% Autoinmune - Estrés. Caida de cabello en áreas, sin signos inflamatorios. (i) En caso de ser +50% tiene riesgo de Alopecia Universal crónica.",
Amaurosis bilateral,Obs Trastorno conversivo. Suero fisiologico 0.9% EV 1000 cc Derivar a Psiquiatría.,"(i) La perdida de visión súbita de ambos ojos a la vez, sin antecedente de traumatismo y examen físico normal. Suele ser un episodio conversivo, dentro del trastorno conversivo.",
Amaurosis fugaz unilateral,(i) Realizar: Fondo de Ojo Clínica e inicio. Antecedentes crónicos. Antecedente de trauma. Manejo según causa.,"% Desprendimiento de retina, Trombosis de la vena central de la retina, Oclusión arteria central de la retina, Hemorragia vítrea, Neuropatía óptica isquémica, Neuritis óptica. (i) Para evaluar nervio óptico pedir RNM.",
Amblopia en niños,Según causa Derivar a Oftalmologia.,"Disminución de agudeza visual por causa 2ria. Alteración del desarrollo nervioso ocular por alteración en estimulación ocular. % Estrabismo, Catarata congenita, Retinoblastoma, Glaucoma congenito.",
Amigdalitis Bacteriana aguda o Pultacea,Escala de Centor. Cultivo Faringeo: Centor mas de 2 puntos o duda diagnostica. Pedir: Hemograma. Test Pack viral ante duda. (*) Penicilina Benzatina 1.200.000 UI. DI: 1.2M UI IM por 1 vez. DP: menos de 30 Kg: 600.000 UI IM por 1 vez. (*) Amoxicilina 500 mg. DI: 1 comp c 8 hrs por 7-10 días. (*) Amoxicilina  250-500mg/5ml jarabe. DP: 80mg/kg/dia c 8 hrs por 7-10 días. (ac) Azitromicina 500 mg. DI: 500 mg al día VO por 5 días. (ac) Azitromicina  200mg/5ml jarabe. DP: 10mg/kg/dia 1 vez por 5 días. Cefadroxilo 500 mg. DI: 500 mg cada 12 hrs VO por 10 dias. Cefadroxilo 250 mg/5ml jarabe. DP: 30-50 mg/kg/dia cada 12 hrs por 10 días. Clindamicina 300 mg. DI: 300 mg cada 8 hrs VO por 10 dias. Clindamicina 75mg/5ml jarabe. DP: 8-20 mg/kg/día cada 8 hrs VO por 10 dias. Eritromicina 500 mg comprimidos. DI: 500 mg c 6 hrs VO por 10 dias. Eritromicina 250mg/5ml jarabe: DP: 50 mg/kg/dia c 6 hrs VO por 10 dias. Paracetamol 500 mg. DI: 1 gr cada 8 hrs por 3-5 dias. Ibuprofeno 600 mg. DI: 400-600 mg cada 8 hrs por 3 dias. + 2 Jeringa 5 cc IM. + Agua para inyecciones o Suero fisiológico 10 cc.,"% Estreptococo pyogenes: beta hemolítico grupo A: SBHGA. Dg: Clinica: Odinofagia aguda intensa, fiebre alta, adenopatias cervicales dolorosas, aumento tamaño amigdalino y exudado purulento en surcos ""gris-amarillo"", eritema faringeo y petequias en paladar blando. Exantema escarlatina. (i) Ausencia de tos, disfonía, conjuntivitis o rinorrea. (i) En caso de duda, pedir cultivo faríngeo - Test Pack. (i) Macrolidos en caso de Alergia a PNC. (i) Solo 10% de amigdalitis es bacteriana, 90% es viral. Hemograma con leucocitosis y elevación de Neutrófilos.",
Amigdalitis cronica,Siete (7) amigdalitis bacterianas en 1 año. Cinco (5) amigdalitis bacterianas en 2 años. Tres (3) amigdalitis bacterianas en 3 años. Dos o mas (2 o mas) abesceso periamigdalino. IC a Otorrinolaringólogo ORL. Qx: Amigdalectomia por Otorrinolaringólogo ORL. .,Criterio para amigdalectomía por infección a repeticion en adultos y niños,
Amigdalitis Viral,"Escala de Centor Test Pack y Hemograma. Paracetamol 500 mg. DI: 1 gr cada 8 hrs VO por 3 dias. Paracetamol gotas.  DP: 3-5 gotas por kg, cada 8 horas. NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg/5 ml. DP: 15 – 20 mg/kg/dosis cada 8 horas.  NC: Kitadol infantil. Panadol. Ibuprofeno 400-600 mg. DI: 400 mg cada 8 hrs VO por 3 dias.","% Adenovirus, Virus Epstein bar (VEB), Mononucleosis MN. 90% de amigdalitis es viral. Puntaje de Centor: 1-2 puntos: manejo sintomático. Clínica: Rinorrea, Tos, conjuntivitis, eritema faríngeo, febrícula o fiebre baja, sin compromiso de estado general, odinofagia leve, sin exudado purulento. Exantema morbiliforme: en caso de mononucleosis. Hemograma: Leucocitosis con elevación de Linfocitos. (i) No dar antibióticos, explicar curso y signos de alarma para re consulta.",
Anafilaxia - Alergia severa - Angioedema de Quincke - Angioneurotico,"ABCD (*) Adrenalina 0.4 mg IM.  DI: 0.4mg IM (muslo) DP: 0.15mg IM o 0.01mg/kg/dosis DMx: 0.3mg.  *Si hay Shock o perdida de via aerea. Clorfenamina 10mg/1ml.  DI: 10mg IM-EV DMx: 40 mg. DP: 0,1mg/kg/Dosis c 8 hr (No en <2 a) Dexametasona 8mg/2ml VO- EV DI: 4-8mg EV. DP: 0,15-0,60 mg/kg/dosis Hidrocortisona 100mg EV. DI: 100 mg EV.  DP: 5 mg/kg/dosis cada 6 hrs EV. Prednisona 20mg/5ml Jarabe. DP: 0,5-2mg/kg/dia. Betametasona 4 mg/2ml EV  DP: 0,01-0,02 mg/kg/dosis VO","% Alergia severa. Adrenalina 0.4 mg IM: Si hay Shock o perdida de via aerea. Edema agudo de cara, parpado, labios. Puede afectar tubo digestivo con vomito, dolor abdominal y laringe con compromiso de vía aérea.",
"Analgesicos AINES, Antiinflamatorios, Antipireticos.","(*) Paracetamol 500 mg.  DI: 500 mg c 8 hrs.   - DMx: 1gr c 8 hrs (3gr/dia)   NC: Panadol, Tapsin. Xumadol (1 gramo) Paracetamol 125 mg Sup. Infantil     DP: 1 cada 8 hrs. Paracetamol gotas.           DP: 3-5 gotas por kg, cada 8 hrs.     NC: Kitadol gotas, Panadol gotas. Paracetamol jarabe 120-160 mg / 5 ml    DP: 15 – 20 mg/kg/dosis cada 8 hrs.  NC: Kitadol infantil. Panadol. Metamizol sodico 1gr/2ml EV.     NC: Dipirona      (i) Alergia. Metamizol 300 mg. DI: 1-2 comp cada 8 hrs.    (i) Alergia. Metamizol 250mg Supositorios. Uso: 3 cada 8 hrs.  Max 3 gr dia.   (i) Alergia. Ketorolaco 10 mg.   DI: 10 mg c/8 hrs Ketorolaco 30mg/1ml ampolla.   DP: 0.2mg/kg/dosis c 6-8 hrs EV-IM.  DI: 30 mg c 8 hrs.   Dmx: 120 mg dia. Ketorolaco 30 mg Sublingual. DMx: 1 comp SL SOS c 6 hrs max 2-5 dias. Ibuprofeno 400 mg – 600 mg.     DI: 400 – 600 mg c/8 hrs. Ibuprofeno jarabe 100-200mg /5ml      DP: 10 mg /kg/dosis c 8 hrs. Diclofenaco 50 mg       DI: 50 mg c/8-12 hrs.   NC: Lertus Diclofenaco 75 mg/3ml EV-IM  NC: Lertus Diclofenaco 12.5 mg  Sup infanitl.     (i) evitar en <1año. ERC. Diclofenaco 15mg/ml gotas. DP: 0.5-1 mg/Kg/dosis. Clonixinato de Lisina 125mg.  DI: 1 o 2 comp cada 8 hrs.      NC: Nefersil Naproxeno 550 mg.  DI: 550 mg cada 8 horas. Ketoprofeno 50 mg   DI: 50 mg cada 8 horas. Ketoprofeno 100 mg/2ml ampolla. DP: 1-2 mg /kg/dosis cada 6-12 hrs, VO-IM.  DI: 1 ampolla cada 8-12 hrs. Ketoprofeno T.U 200 mg. DI: 1 comprimido diario. Tramadol 100 mg/ml gotas. DI: 5-15 gotas c 8 hrs.","Fiebre, Cefalea, Dolor, Inflamacion.",
Angina de Ludwig,Hospitalizar,% Flegmón del piso de la boca.,
Angina de Vincent – Angina ulceronecrotica – Angina Ulceromembranosa,"Hospitalizar Pedir GRAM y Cultivo de tejido oral, para descartar difteria. Enjuagues con agua oxigenada Metronidazol 500 mg/100 cc DI: 500 mg EV c 12 hrs. Clindamicina 300 mg. DI: 300 mg cada 8 hrs VO por 10 dias. Clindamicina 75mg/5ml jarabe. DP: 8-20 mg/kg/día cada 8 hrs VO por 10 dias.","% Anerobios. Dg: Clinica: Amigdalitis + Gingivitis Severa, Halitosis intensa, Ulceras, pseudomembranas pequeñas y necrosis de tejido oral.",
Angina Mesenterica,Pargeverina/Metamizol 5mg/2gr 5ml EV. DI: 1 c/8 hrs.  NC: Viadil compuesto. Qx: Stent de arteria mesentérica. (*) + Manejo Factores de Riesgo Cardiovascular. (FRCV),"Dolor abdominal postprandial, asociado a baja de peso y diarrea. Antecedentes: Factores de Riesgo Cardiovascular (HTA, DM2, DLP, IAM).",
Antihistaminicos - Alergia,Clorfenamina 4 mg.    DI: 4 mg cada 8 hrs. Clorfenamina 2.5mg/5ml jarabe.       DP: 0.1 mg / kg /dosis cada 8 hrs.  (i) evitar en -2a. (ac) Loratadina 10 mg.   DI: 10 mg cada 12 hrs. (ac) Loratadina 5mg/5ml jarabe      DP:  1-12 kg: 2.5 mg dia. |12-30 kg: 5 mg dia. | >30 kg: 10 mg día. Desloratadina 5 mg.  DI: 5 mg al dia. Desloratadina 2.5 mg/5ml jarabe     DP: 0.1 mg / Kg/ dia. (*) Cetirizina 10 mg.    DI: 10 mg al dia. (*) Cetirizina 10 mg/5ml jarabe.      DP: 6m-2a: 2.5mg dia. | 2a-5a: 5mg dia | +5a: 10 mg dia. Levocetirizina 5 mg.    DI: 5 mg al dia. Levocetirizina 2.5mg/5ml jarabe.     DP: 6m-5a: 1.25mg dia | 5a-11a: 2.5mg dia | +12a: 5mg dia. Hidroxizina 20mg/5ml jarabe.     DP: 0.15 mg/kg/dia cada 8 hrs.  (i) NO en menores 1 año.,Clorfenamina (i) evitar en < 2 años. Hidroxizina (i) evitar en < 1 año.,
APACHE II,"-Edad -Temperatura -Presión arterial media -Frecuencia cardiaca -Frecuencia Respiratoria -Glasgow -Gases arteriales: Pa02, pH arterial, HCO3 -Electrolitos plasmáticos: Na, K -Creatinina Plasmática. -Perfil hematológico: Hematocrito, Leucocitos -Enfermedad crónicas: Cirrosis confirmada (biopsia), NYHA Clase IV, EPOC Grave: ej. Hipercapnia, O2 domiciliario, HT pulmonar. ERC V: Diálisis crónica, VIH e Inmunocomprometidos.","Score de Pronóstico en Pancreatitis aguda, parámetros recogidos en las 1as 24 h de ingreso UCI Exámenes: Gases arteriales, ELP, Creatinina, Perfil hematológico. CALCULADORA: https://www.rccc.eu/calmed/Apache.html",
Artrosis de Cadera - Rodilla,(ac) Arthrozeel comprimidos. DI: 1 comprimido cada 12 hrs. (ac) Artrisimi comprimidos. DI: 1 comprimido cada 12 hrs. (ac) Colageno Hidroliozado comprimidos. DI: 1 comprimido cada 12 hrs. Magnesio Carbonato 200mg DI: 1 comprimido en la noche. Ketoprofeno T.U 200 mg. DI: 1 comprimido al dia. Celecoxib 200 mg capsula. DI: 200 mg al dia. (SOS) Tramadol Clorhidrato 100mg/ml gotas. DI: 5 gotas disueltas en agua SOS.,,
Ascitis a Tension,"(*) Qx: Paracentesis Diagnóstica, para descartar PBE. Qx: Paracentesis Evacuadora. Albúmina 20% ampolla EV.  DI: 8 gr/Litro evacuado EV (desde los 5 litros) + Dejar tratamiento de Ascitis simple.","Al alta dejar: Diuréticos dosis altas + Restricción Hidrosalina. (i) Reponer Albúmina EV desde los 5 litros evacuados. PBE: Peritonitis bacteriana espontánea. Pedir: Ecografía abdominal, Albúmina plasmática y Cultivo líquido peritoneal (Recuento celular, Albúmina, Proteínas, Microbiológico).",
